Experiment,F1,Acc
Real->Real,0.30469474046485395,0.41911557118291715
GaussianCopula->Real,0.05170016546695616,0.22092754664681877
Real->GaussianCopula,0.12613154910199426,0.1770590196732244
GaussianCopula->GaussianCopula,0.05419384722275833,0.23407802600866956
CTGAN->Real,0.2413730363050893,0.3223314426507199
Real->CTGAN,0.12813493555846595,0.1513837945981994
CTGAN->CTGAN,0.2961819975089787,0.3507835945315105
TVAE->Real,0.27020635632555123,0.44105946667351076
Real->TVAE,0.13450636538975608,0.20306768922974325
TVAE->TVAE,0.22457784365225422,0.3711237079026342
Real->Real_3class,0.56399228644531,0.5903036213843903
Real->Real_2class,0.6022262694597049,0.7163719426122218
GaussianCopula->Real_3class,0.17738765720456842,0.3625490850293869
GaussianCopula->Real_2class,0.2628462237021341,0.3565690526910146
Real->GaussianCopula_3class,0.3292439060582028,0.3391130376792264
Real->GaussianCopula_2class,0.48800907096086565,0.5775258419473158
GaussianCopula->GaussianCopula_3class,0.1264523101864361,0.23407802600866956
GaussianCopula->GaussianCopula_2class,0.4106897229318137,0.6968989663221073
CTGAN->Real_3class,0.5296373842062622,0.6897312835253959
CTGAN->Real_2class,0.8566726957690254,0.865924081821215
Real->CTGAN_3class,0.32306871658297065,0.34244748249416473
Real->CTGAN_2class,0.5094165387030558,0.5865288429476492
CTGAN->CTGAN_3class,0.5906634785861838,0.7715905301767255
CTGAN->CTGAN_2class,0.7156864736753006,0.7385795265088363
TVAE->Real_3class,0.6851895287814115,0.7352873238713652
TVAE->Real_2class,0.8321689992579402,0.8394887457331315
Real->TVAE_3class,0.32420105916147574,0.33011003667889294
Real->TVAE_2class,0.5073717733825008,0.5425141713904635
TVAE->TVAE_3class,0.5593757147980657,0.6392130710236745
TVAE->TVAE_2class,0.7183604091514435,0.7255751917305768
