Experiment,F1,Acc
Real->Real,0.6022262694597049,0.7163719426122218
GaussianCopula->Real,0.2628462237021341,0.3565690526910146
Real->GaussianCopula,0.48800907096086565,0.5775258419473158
GaussianCopula->GaussianCopula,0.4106897229318137,0.6968989663221073
CTGAN->Real,0.8566726957690254,0.865924081821215
Real->CTGAN,0.5094165387030558,0.5865288429476492
CTGAN->CTGAN,0.7156864736753006,0.7385795265088363
TVAE->Real,0.8321689992579402,0.8394887457331315
Real->TVAE,0.5073717733825008,0.5425141713904635
TVAE->TVAE,0.7183604091514435,0.7255751917305768
